Organization Group,Job,Total Compensation
Public Protection,Police Officer,152804.29
Human Welfare & Neighborhood Development,Child Support Officer III,132917.04
Community Health,Health Worker 2,94281.96
"Public Works, Transportation & Commerce",Electrician,128237.24
"Public Works, Transportation & Commerce",Transit Operator,49717.93
"Public Works, Transportation & Commerce",Executive Secretary 1,87105.24
"Public Works, Transportation & Commerce",Traf Signal Electrician Sup II,194475.25
Community Health,Special Nurse,15617.6
"Public Works, Transportation & Commerce",Gardener,113529.51
"Public Works, Transportation & Commerce",Transit Operator,99255.53
"Public Works, Transportation & Commerce",Transit Operator,135121.53
Public Protection,"Lieutenant, Fire Suppression",263144.14
General Administration & Finance,Manager III,205803.23
Community Health,Senior Physician Specialist,271694.82
Human Welfare & Neighborhood Development,Eligibility Worker Supervisor,112417.5
"Public Works, Transportation & Commerce",Transit Operator,71808.53
Human Welfare & Neighborhood Development,Protective Services Worker,154318.51
"Public Works, Transportation & Commerce",Truck Driver,128711.48
"Public Works, Transportation & Commerce",Transit Operator,84156.08
Culture & Recreation,Library Technical Assistant 1,82476.61
Community Health,Stationary Engineer,114215.41
"Public Works, Transportation & Commerce",Custodian,86347.06
Public Protection,Inspector 3,191295.67
"Public Works, Transportation & Commerce",Gardener,106322.72
Human Welfare & Neighborhood Development,Junior Clerk,47682.12
"Public Works, Transportation & Commerce",Electrical Transit System Mech,103966.93
"Public Works, Transportation & Commerce",Transit Operator,45141.2
"Public Works, Transportation & Commerce",Automotive Service Worker,114083.86
Public Protection,Police Officer,155877.34
"Public Works, Transportation & Commerce",Transit Operator,43415.73
"Public Works, Transportation & Commerce",Transit Operator,119621.32
General Administration & Finance,Personal Property Auditor,104374.98
"Public Works, Transportation & Commerce",Transit Car Cleaner,101764.44
"Public Works, Transportation & Commerce",Assoc Engineer,155121.88
"Public Works, Transportation & Commerce",Sign Worker,86426.49
"Public Works, Transportation & Commerce",Engineer,177203.51
Community Health,Nurse Practitioner,190569.05
"Public Works, Transportation & Commerce",Manager III,95171.06
Human Welfare & Neighborhood Development,Social Worker,11779.5
Community Health,Special Nurse,39505.53
"Public Works, Transportation & Commerce",Transit Operator,32999.56
"Public Works, Transportation & Commerce",Custodian,107134.63
Public Protection,IT Operations Support Admn III,125429.18
General Administration & Finance,"Claims Investigator, Ca",148259.77
"Public Works, Transportation & Commerce",Electronic Maintenance Tech,11000.64
Public Protection,Attorney (Civil/Criminal),216199.67
"Public Works, Transportation & Commerce",Electrician,32646.87
Public Protection,Sergeant 3,236326.4
Public Protection,Police Officer 3,178800.85
Human Welfare & Neighborhood Development,Senior Eligibility Worker,117823.92
Human Welfare & Neighborhood Development,Senior Eligibility Worker,125609.99
Community Health,Diagnostic Imaging Tech II,217321.65
Community Health,Senior Clerk,84442.15
Public Protection,Lieutenant 3,56863.4
Public Protection,Deputy Sheriff,152985.58
"Public Works, Transportation & Commerce",IS Engineer-Senior,182219.5
Public Protection,Sheriff's Sergeant,157674.43
Human Welfare & Neighborhood Development,Management Assistant,30034.17
Human Welfare & Neighborhood Development,Senior Eligibility Worker,101650.69
"Public Works, Transportation & Commerce",Landscape Architect Assoc 1,197802.03
Human Welfare & Neighborhood Development,"Coord, Human Rights Comm",156065.03
"Public Works, Transportation & Commerce",Airport Electrician,97041.97
Public Protection,Attorney (Civil/Criminal),220971.97
"Public Works, Transportation & Commerce",Transit Operator,115164.2
"Public Works, Transportation & Commerce",Transit Operator,60769.41
Public Protection,Police Officer 2,87115.24
Public Protection,Sr Human Resources Analyst,56085.46
"Public Works, Transportation & Commerce",Engineering Assistant,91274.72
"Public Works, Transportation & Commerce",Utility Specialist,174888.2
General Administration & Finance,Payroll Clerk,101726.42
"Public Works, Transportation & Commerce",Public Relations Officer,139546.6
Culture & Recreation,Museum Guard,100184.68
Human Welfare & Neighborhood Development,Social Work Specialist,122289.32
"Public Works, Transportation & Commerce",Water Quality Tech III,36204.13
Community Health,Special Nurse,47970.59
General Administration & Finance,Manager III,14983.82
Human Welfare & Neighborhood Development,Senior Account Clerk,51243.27
Community Health,Special Nurse,77963.17
Culture & Recreation,Bldg & Grounds Patrol Officer,98899.11
Culture & Recreation,Park Section Supervisor,115757.45
"Public Works, Transportation & Commerce",Window Cleaner,116542.2
General Administration & Finance,"Ex Asst To Ex Dir, Retirement",178948.95
"Public Works, Transportation & Commerce",Transit Operator,117613.31
"Public Works, Transportation & Commerce",Transit Operator,131942.75
General Administration & Finance,Sr Personal Property Auditor,14713.13
Community Health,Medical Evaluations Assistant,11638.02
Public Protection,Police Officer 3,180875.8
Culture & Recreation,Recreation Leader,17800.73
Community Health,Accountant II,27608.26
Community Health,Project Manager 3,245820.99
Public Protection,Senior Clerk,86982.43
"Public Works, Transportation & Commerce","Operating Engineer, Universal",135490.42
General Administration & Finance,Communications Systems Tech,50369.28
"Public Works, Transportation & Commerce",Electrical Transit System Mech,154674.63
Culture & Recreation,Gardener,81847.1
Public Protection,"Head Atty, Civil & Criminal",104263.1
General Administration & Finance,Clerk Typist,15952.86
Culture & Recreation,Stationary Engineer,128355.79
Public Protection,Police Officer 3,213927.91
Community Health,Stationary Engineer,121829.57
Community Health,Dental Aide,10559.89
Public Protection,"Lieut,Fire Prev",27317.28
"Public Works, Transportation & Commerce",Manager III,201172.58
"Public Works, Transportation & Commerce",Trans Safety Specialist,191965.44
"Public Works, Transportation & Commerce",Transit Operator,12619.42
General Administration & Finance,Senior Management Assistant,49023.16
General Administration & Finance,Stationary Engineer,120069.73
Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,19278.36
"Public Works, Transportation & Commerce","Stdntdsgntrain1, Arch/Eng/Plng",28428.2
General Administration & Finance,Public Service Trainee,28064.93
Human Welfare & Neighborhood Development,Clerk,53904.26
"Public Works, Transportation & Commerce",Automotive Mechanic,142207.36
Community Health,Public Health Team Leader,115520.42
"Public Works, Transportation & Commerce",Transit Planner 2,82123.11
Community Health,Physician Specialist,267846.87
"Public Works, Transportation & Commerce",Transit Operator,98503.07
Human Welfare & Neighborhood Development,Senior Clerk Typist,92574.01
"Public Works, Transportation & Commerce",Transit Operator,71167.31
"Public Works, Transportation & Commerce",Engineer,191287.93
Culture & Recreation,Librarian 2,134583.11
General Administration & Finance,Principal Clerk,107657.5
"Public Works, Transportation & Commerce",Transit Supervisor,108916.08
General Administration & Finance,Training Officer,130793.63
Culture & Recreation,Project Manager 2,15202.28
General Administration & Finance,Clerk,84586.04
General Administration & Finance,Automotive Mechanic,124882.7
Culture & Recreation,Librarian 1,73622.33
Public Protection,"Lieutenant, Fire Suppression",229584.54
General Administration & Finance,Electrical Line Worker,166106.41
"Public Works, Transportation & Commerce",Communications Dispatcher 1,72681.74
"Public Works, Transportation & Commerce","Stdntdsgntrain1, Arch/Eng/Plng",10496.17
Community Health,Nursing Supervisor,50303.3
Public Protection,Fire Rescue Paramedic,171219.13
"Public Works, Transportation & Commerce","Stdntdsgntrain1, Arch/Eng/Plng",11618.44
"Public Works, Transportation & Commerce",Accountant II,11455.21
Culture & Recreation,Custodian,55090.38
General Administration & Finance,Customer Service Agent,105265.96
"Public Works, Transportation & Commerce",Transit Operator,131394.21
"Public Works, Transportation & Commerce",Traffic Survey Technician,70228.87
Community Health,Occupational Therapist,93119.03
Culture & Recreation,Recreation Specialist,45007.35
Community Health,Special Nurse,79999.85
"Public Works, Transportation & Commerce",Architectural Associate 2,162183.75
"Public Works, Transportation & Commerce",Asst Engr,141754.58
Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,17317.98
Public Protection,"Counselor, Log Cabin Ranch",139140.69
"Public Works, Transportation & Commerce",Custodial Assistant Supervisor,40526.92
Public Protection,Community Police Services Aide,68689.02
"Public Works, Transportation & Commerce",Transit Supervisor,45540.95
"Public Works, Transportation & Commerce",Automotive Service Worker,40370.89
Human Welfare & Neighborhood Development,Public Service Trainee,17170.76
Community Health,Special Nurse,43924.66
Culture & Recreation,Librarian 1,23644.42
Community Health,Special Nurse,71503.76
"Public Works, Transportation & Commerce",Transit Operator,19821.18
Public Protection,Lieutenant 3,220443.88
"Public Works, Transportation & Commerce",School Crossing Guard,16258.09
Public Protection,Manager I,12217.2
Human Welfare & Neighborhood Development,Senior Account Clerk,99880.37
Human Welfare & Neighborhood Development,Public Service Trainee,13587.95
General Administration & Finance,Attorney (Civil/Criminal),220270.22
Culture & Recreation,Museum Guard,23270.31
Public Protection,Inspector 3,188389.39
Public Protection,Police Officer 2,170540.62
"Public Works, Transportation & Commerce",Asst Engr,141975.49
Community Health,Nursing Supervisor,311694.3
Community Health,Nursing Assistant,71257.71
Community Health,Clinical Pharmacist,179704.37
Public Protection,EMT/Paramedic/Firefighter,132820.76
"Public Works, Transportation & Commerce",Transit Supervisor,148246.03
General Administration & Finance,Claims Adjuster,164160.2
"Public Works, Transportation & Commerce",Commercial Div Asst Sprv,132467.8
Community Health,Environmental Health Inspector,94952.46
"Public Works, Transportation & Commerce",Transit Operator,162075.55
Human Welfare & Neighborhood Development,Junior Clerk,11161.58
Community Health,Food Service Worker,60911.23
"Public Works, Transportation & Commerce",Truck Driver,43862.7
Community Health,Registered Nurse,194121.17
"Public Works, Transportation & Commerce",Manager VI,179571.71
Culture & Recreation,Museum Guard,26732.08
Community Health,Environmental Health Inspector,45787.87
General Administration & Finance,Planner 2,32847.54
Public Protection,Police Officer,43550.72
Community Health,Special Nurse,12397.45
Culture & Recreation,Gardener,100108.28
"Public Works, Transportation & Commerce",Administrative Analyst,38283.3
Culture & Recreation,Asst Superintendent Rec,136131.26
Public Protection,"Battlion Chief, Fire Suppressi",259611.65
"Public Works, Transportation & Commerce","Stdntdsgntrain1, Arch/Eng/Plng",18026.41
Public Protection,Public Safetycomm Supv,168120.32
"Public Works, Transportation & Commerce",Accountant II,31577.93
"Public Works, Transportation & Commerce",Pr Administrative Analyst,151056.88
Community Health,Porter,90320.32
"Public Works, Transportation & Commerce",School Crossing Guard,12209.25
Public Protection,Inspector 3,213689.44
Public Protection,"Lieutenant, Fire Suppression",175626.48
Public Protection,Police Officer 2,235356.32
"Public Works, Transportation & Commerce",Stdntdsgn Train2/Arch/Eng/Plng,24519.48
Public Protection,Emergency Services Coord III,151877.14
"Public Works, Transportation & Commerce",Transit Operator,159993.15
"Public Works, Transportation & Commerce",Transit Operator,123852.78
Human Welfare & Neighborhood Development,Senior Eligibility Worker,76365.14
Public Protection,Sheriff's Cadet,62457.99
Public Protection,Sheriff's Lieutenant,214784.44
"Public Works, Transportation & Commerce",Transit Operator,119109.0
